"Source:","C:\dev\sixteen-bit-computer\kicad\projects\video_bank_sel_cursor\video_bank_sel_cursor.kicad_sch"
"Date:","2024-02-18 3:53:45 PM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","44"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","14","C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","",""
"2","3","C97, C98, C99","33uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","",""
"3","1","J1","peripheral_addr_bus_connector","sixteen-bit-computer:peripheral_addr_bus_connector","sixteen-bit-computer:peripheral-backplane-data-addr-anno","~","",""
"4","1","J2","peripheral_aux_connector","sixteen-bit-computer:peripheral_aux_connector","sixteen-bit-computer:peripheral-backplane-aux","~","",""
"5","1","J3","peripheral_membank_connector","sixteen-bit-computer:peripheral_membank_connector","sixteen-bit-computer:peripheral-backplane-membank","~","",""
"6","3","J4, J5, J7","Conn_01x16_Socket","Connector:Conn_01x16_Socket","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Horizontal","~","",""
"7","1","J6","video_aux","sixteen-bit-computer:video_aux","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Horizontal","~","",""
"8","1","J8","Conn_01x06_Socket","Connector:Conn_01x06_Socket","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal","~","",""
"9","5","R1, R2, R3, R4, R5","10K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"10","10","U1, U2, U3, U4, U5, U6, U7, U8, U14, U15","74HC245","sixteen-bit-computer:74HC245","Package_DIP:DIP-20_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/cd74hc245.pdf","",""
"11","2","U9, U10","74HC10","sixteen-bit-computer:74HC10","Package_DIP:DIP-14_W7.62mm_Socket","","",""
"12","2","U11, U12","74HC377","sixteen-bit-computer:74HC377","Package_DIP:DIP-20_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/cd74hc377.pdf","",""
